"reactor","salt","distance","v_r1","i_r1","v_r2","i_r2","v_r3","i_r3","v_r4","i_r4","v_r5","i_r5","v_r6","i_r6","v_r7","i_r7","v_r8","i_r8","v_r9","i_r9","power_density"
"R1",120,5,83,14,53.6,11.7,75,6.9,54.4,6.4,50.9,11.3,41.4,4.4,11.3,9.3,12,2.9,18.8,3.3,0.019829323989899
"R2",120,6,56,7.9,70,6.8,54,5.2,65,6.6,49,2.9,49.4,4.6,28,3.5,45,3.6,44,3.9,0.0124242161616162
"R3",60,4,9.5,1.5,5.4,1.9,10.5,1.9,11.6,7.9,1,8.3,8.3,0.6,2.2,2.2,0.5,0.5,2.4,0.1,0.000594346717171717
"R4",60,6,67.5,10.3,68.7,17.1,68.2,12,74,14.2,54.7,6.1,56.9,6.6,41,4.8,38.3,8.4,38,7.1,0.0270769285353535
"R5",60,5,12,1.8,10.7,2.1,5.1,0.1,12.2,0.4,54.5,3.8,42.4,5.3,30,3.2,44,5,20.4,4.2,0.00355999747474747
"R6",60,5,86,13,112,18.5,106,27,86,31,68.2,25.5,63.7,28.5,66.4,29,93,23,74.8,24,0.0850601515151515
"R7",120,4,32,7.5,35.6,8.2,40.4,6.2,5.3,34.1,43.2,5.3,43.2,3.9,35,7.5,43,4.4,33,4.7,0.0099428803030303
"R8",60,5,6.6,2.2,12.5,0.2,6.8,1.3,6,0.7,15.4,1.1,25.6,4.6,20.8,1.8,17,2.1,18,4.7,0.00131081767676768
"R9",0,5,14.6,0.4,11.5,2,9.2,1.5,2.6,0.5,0.5,1.9,0,0,0.9,0.3,0,1.4,3,0,0.00031142702020202
"R10",0,6,0.2,0,0,0,0.1,0,0.2,0,0.9,0,0.7,0,6.5,0,0.2,0,0.2,0,0
"R11",0,4,17.8,2.6,14.5,2.1,8.4,0.4,12,0.2,7.9,0.5,7.9,0.6,10,0.6,0.6,0.2,0.6,0.2,0.000626780050505051
